,Title,Runtime,Release Date,IMDB Rating,Critics Score
0,The Shawshank Redemption,142 min,(1994),9.3,80
1,The Dark Knight,152 min,(2008),9.0,84
2,Fight Club,139 min,(1999),8.8,66
3,Forrest Gump,142 min,(1994),8.8,82
4,Pulp Fiction,154 min,(1994),8.9,94
5,The Lord of the Rings: The Fellowship of the Ring,178 min,(2001),8.8,92
6,The Lord of the Rings: The Return of the King,201 min,(2003),8.9,94
7,The Godfather,175 min,(1972),9.2,100
8,Interstellar,169 min,(2014),8.6,74
9,The Dark Knight Rises,164 min,(2012),8.4,78
10,The Lord of the Rings: The Two Towers,179 min,(2002),8.7,87
11,Seven,127 min,(1995),8.6,65
12,Django Unchained,165 min,(2012),8.4,81
13,Gladiator,155 min,(2000),8.5,67
14,Batman Begins,140 min,(2005),8.2,70
15,Inglourious Basterds,153 min,(2009),8.3,69
16,The Silence of the Lambs,118 min,(1991),8.6,85
17,Saving Private Ryan,169 min,(1998),8.6,91
18,The Wolf of Wall Street,180 min,(2013),8.2,75
19,Schindler's List,195 min,(1993),8.9,94
20,The Prestige,130 min,(2006),8.5,66
21,The Departed,151 min,(2006),8.5,85
22,The Green Mile,189 min,(1999),8.6,61
23,The Godfather: Part II,202 min,(1974),9.0,90
24,Joker,122 min,(2019),8.4,59
25,American Beauty,122 min,(1999),8.3,84
26,Titanic,194 min,(1997),7.8,75
27,Leon,110 min,(1994),8.5,64
28,Goodfellas,146 min,(1990),8.7,90
29,V for Vendetta,132 min,(2005),8.1,62
30,American History X,119 min,(1998),8.5,62
31,Kill Bill: Vol. 1,111 min,(2003),8.1,69
32,The Usual Suspects,106 min,(1995),8.5,77
33,The Truman Show,103 min,(1998),8.1,90
34,The Lion King,88 min,(1994),8.5,88
35,Braveheart,178 min,(1995),8.3,68
36,Up,96 min,(2009),8.2,88
37,Avengers: Endgame,181 min,(2019),8.4,78
38,Reservoir Dogs,99 min,(1992),8.3,79
39,One Flew Over the Cuckoo's Nest,133 min,(1975),8.7,84
40,The Shining,146 min,(1980),8.4,66
41,Eternal Sunshine of the Spotless Mind,108 min,(2004),8.3,89
42,The Sixth Sense,107 min,(1999),8.1,64
43,Gone Girl,149 min,(2014),8.1,79
44,No Country for Old Men,122 min,(2007),8.1,91
45,Good Will Hunting,126 min,(1997),8.3,70
46,Catch Me If You Can,141 min,(2002),8.1,75
47,A Beautiful Mind,135 min,(2001),8.2,72
48,Slumdog Millionaire,120 min,(2008),8.0,84
49,Untouchable,112 min,(2011),8.5,57
50,The Martian,144 min,(2015),8.0,80
51,Requiem for a Dream,102 min,(2000),8.3,68
52,Gravity,91 min,(2013),7.7,96
53,Scarface,170 min,(1983),8.3,65
54,The Pianist,150 min,(2002),8.5,85
55,Whiplash,106 min,(2014),8.5,88
56,Taxi Driver,114 min,(1976),8.2,94
57,Donnie Darko,113 min,(2001),8.0,88
58,300,117 min,(2006),7.6,52
59,The Revenant,156 min,(2015),8.0,76
60,Gran Torino,116 min,(2008),8.1,72
61,12 Angry Men,96 min,(1957),9.0,96
62,Blade Runner,117 min,(1982),8.1,84
63,Black Swan,108 min,(2010),8.0,79
64,The Imitation Game,114 min,(2014),8.0,71
65,City of God,130 min,(2002),8.6,79
66,I Am Legend,101 min,(2007),7.2,65
67,Full Metal Jacket,116 min,(1987),8.3,76
68,Logan,137 min,(2017),8.1,77
69,Parasite,132 min,(2019),8.6,96
70,Silver Linings Playbook,122 min,(2012),7.7,81
71,12 Years a Slave,134 min,(2013),8.1,96
72,Inside Out,95 min,(I) (2015),8.1,94
73,The Social Network,120 min,(2010),7.7,95
74,Million Dollar Baby,132 min,(2004),8.1,86
75,Trainspotting,93 min,(1996),8.1,83
76,Life Is Beautiful,116 min,(1997),8.6,59
77,The King's Speech,118 min,(2010),8.0,88
78,Once Upon a Time... In Hollywood,161 min,(2019),7.6,83
79,Prisoners,153 min,(2013),8.1,70
80,Arrival,116 min,(II) (2016),7.9,81
81,Pan's Labyrinth,118 min,(2006),8.2,98
82,The Hunger Games: Catching Fire,146 min,(2013),7.5,76
83,Apocalypse Now,147 min,(1979),8.4,94
84,The Curious Case of Benjamin Button,166 min,(2008),7.8,70
85,Heat,170 min,(1995),8.2,76
86,Dunkirk,106 min,(2017),7.8,94
87,Birdman or (The Unexpected Virtue of Ignorance),119 min,(2014),7.7,87
88,Life of Pi,127 min,(2012),7.9,79
89,Drive,100 min,(I) (2011),7.8,78
90,Into the Wild,148 min,(2007),8.1,73
91,Argo,120 min,(2012),7.7,86
92,Her,126 min,(2013),8.0,91
93,Cast Away,143 min,(2000),7.8,73
94,The Hateful Eight,168 min,(2015),7.8,68
95,Knives Out,130 min,(2019),7.9,82
96,L.A. Confidential,138 min,(1997),8.2,90
97,Looper,113 min,(2012),7.4,84
98,There Will Be Blood,158 min,(2007),8.2,93
99,Oldboy,120 min,(2003),8.4,77
100,Casablanca,102 min,(1942),8.5,100
101,La La Land,128 min,(2016),8.0,94
102,Rocky,120 min,(1976),8.1,70
103,The Notebook,123 min,(2004),7.8,53
104,American Psycho,101 min,(2000),7.6,64
105,Watchmen,162 min,(2009),7.6,56
106,Blood Diamond,143 min,(2006),8.0,64
107,Blade Runner 2049,164 min,(2017),8.0,81
108,1917,119 min,(2019),8.3,78
109,The Great Gatsby,143 min,(2013),7.2,55
110,Troy,163 min,(2004),7.3,56
111,Rise of the Planet of the Apes,105 min,(2011),7.5,68
112,Ex Machina,108 min,(2014),7.7,78
113,Zodiac,157 min,(2007),7.7,78
114,Juno,96 min,(2007),7.4,81
115,Nightcrawler,117 min,(2014),7.8,76
116,Source Code,93 min,(2011),7.5,74
117,Bohemian Rhapsody,134 min,(2018),7.9,49
118,"Crazy, Stupid, Love.",118 min,(2011),7.4,68
119,Casino,178 min,(1995),8.2,73
120,Rain Man,133 min,(1988),8.0,65
121,500 Days of Summer,95 min,(2009),7.6,76
122,Baby Driver,113 min,(2017),7.6,86
123,A Quiet Place,90 min,(2018),7.5,82
124,The Perks of Being a Wallflower,103 min,(2012),7.9,67
125,Children of Men,109 min,(2006),7.9,84
126,The Pursuit of Happyness,117 min,(2006),8.0,64
127,Hacksaw Ridge,139 min,(2016),8.1,71
128,"Three Billboards Outside Ebbing, Missouri",115 min,(2017),8.1,88
129,The Butterfly Effect,113 min,(2004),7.6,30
130,Edward Scissorhands,105 min,(1990),7.9,74
131,Dallas Buyers Club,117 min,(2013),8.0,79
132,Love Actually,135 min,(2003),7.6,55
133,American Hustle,138 min,(2013),7.2,90
134,Hancock,92 min,(2008),6.4,49
135,American Sniper,133 min,(2014),7.3,72
136,Little Miss Sunshine,101 min,(2006),7.8,80
137,Rush,123 min,(I) (2013),8.1,74
138,Fury,134 min,(2014),7.6,64
139,Dead Poets Society,128 min,(1989),8.1,79
140,Warrior,140 min,(2011),8.1,71
141,Spotlight,129 min,(I) (2015),8.1,93
142,Twilight,122 min,(I) (2008),5.2,56
143,The Girl with the Dragon Tattoo,158 min,(2011),7.8,71
144,Captain Phillips,134 min,(2013),7.8,82
145,The Help,146 min,(2011),8.0,62
146,Mystic River,138 min,(2003),7.9,84
147,Green Book,130 min,(2018),8.2,69
148,The Hurt Locker,131 min,(2008),7.5,95
149,Lost in Translation,102 min,(2003),7.7,89
150,The Terminal,128 min,(2004),7.4,55
151,It's a Wonderful Life,130 min,(1946),8.6,89
152,Elysium,109 min,(I) (2013),6.6,61
153,The Theory of Everything,123 min,(2014),7.7,71
154,Big Fish,125 min,(2003),8.0,58
155,Crash,112 min,(I) (2004),7.7,66
156,Dune,155 min,(2021),8.2,74
157,Citizen Kane,119 min,(1941),8.3,100
158,Dawn of the Planet of the Apes,130 min,(2014),7.6,79
159,Gangs of New York,167 min,(2002),7.5,72
160,The Last Samurai,154 min,(2003),7.7,55
161,Training Day,122 min,(2001),7.7,69
162,American Gangster,157 min,(2007),7.8,76
163,King Kong,187 min,(2005),7.2,81
164,In Bruges,107 min,(2008),7.9,67
165,Sicario,121 min,(2015),7.6,82
166,Unbreakable,106 min,(2000),7.3,62
167,The Big Short,130 min,(2015),7.8,81
168,Moneyball,133 min,(2011),7.6,87
169,The Shape of Water,123 min,(2017),7.3,87
170,Platoon,120 min,(1986),8.1,92
171,Room,118 min,(I) (2015),8.1,86
172,28 Days Later,113 min,(2002),7.6,73
173,The Devil Wears Prada,109 min,(2006),6.9,62
174,Unforgiven,130 min,(1992),8.2,85
175,Amadeus,160 min,(1984),8.3,88
176,Stand by Me,89 min,(1986),8.1,75
177,Collateral,120 min,(2004),7.5,71
178,Black Hawk Down,144 min,(2001),7.7,74
179,Passengers,116 min,(I) (2016),7.0,41
180,The Godfather: Part III,162 min,(1990),7.6,60
181,The Breakfast Club,97 min,(1985),7.8,66
182,Easy A,92 min,(2010),7.0,72
183,The Lives of Others,137 min,(2006),8.4,89
184,The Game,129 min,(1997),7.7,61
185,The Machinist,101 min,(2004),7.7,61
186,3 Idiots,170 min,(2009),8.4,67
187,The Town,125 min,(2010),7.5,74
188,The Illusionist,110 min,(2006),7.6,68
189,127 Hours,94 min,(2010),7.5,82
190,A Star Is Born,136 min,(2018),7.6,88
191,The Fault in Our Stars,126 min,(2014),7.7,69
192,The Irishman,209 min,(2019),7.8,94
193,Inside Man,129 min,(2006),7.6,76
194,Sweeney Todd: The Demon Barber of Fleet Street,116 min,(2007),7.3,83
195,Cloud Atlas,172 min,(2012),7.4,55
196,The Fighter,116 min,(I) (2010),7.8,79
197,The Devil's Advocate,144 min,(1997),7.5,60
198,Jojo Rabbit,108 min,(2019),7.9,58
199,Signs,106 min,(2002),6.7,59
200,The Aviator,170 min,(2004),7.5,77
201,Man on Fire,146 min,(2004),7.7,47
202,Le Mans '66,152 min,(2019),8.1,81
203,Moon,97 min,(2009),7.8,67
204,Boyhood,165 min,(I) (2014),7.9,100
205,Hotel Rwanda,121 min,(2004),8.1,79
206,Snowpiercer,126 min,(2013),7.1,84
207,Downfall,156 min,(2004),8.2,82
208,Brokeback Mountain,134 min,(2005),7.7,87
209,50 First Dates,99 min,(2004),6.8,48
210,Mulholland Drive,147 min,(2001),7.9,85
211,Flight,138 min,(I) (2012),7.3,76
212,Raging Bull,129 min,(1980),8.2,89
213,Moonrise Kingdom,94 min,(2012),7.8,84
214,Jackie Brown,154 min,(1997),7.5,64
215,Once Upon a Time in America,229 min,(1984),8.3,75
216,Due Date,95 min,(2010),6.5,51
217,Seven Samurai,207 min,(1954),8.6,98
218,About Time,123 min,(I) (2013),7.8,55
219,Up in the Air,109 min,(I) (2009),7.4,83
220,The Deer Hunter,183 min,(1978),8.1,86
221,True Grit,110 min,(2010),7.6,80
222,Being John Malkovich,113 min,(1999),7.7,90
223,50/50,100 min,(2011),7.6,72
224,Shooter,124 min,(I) (2007),7.2,53
225,Burn After Reading,96 min,(2008),7.0,63
226,Eyes Wide Shut,159 min,(1999),7.4,68
227,Pearl Harbor,183 min,(2001),6.2,44
228,Equilibrium,107 min,(2002),7.4,33
229,Les Misérables,158 min,(2012),7.6,63
230,10 Things I Hate About You,97 min,(1999),7.3,70
231,Click,107 min,(2006),6.4,45
232,Hugo,126 min,(2011),7.5,83
233,Top Gun,110 min,(1986),6.9,50
234,Real Steel,127 min,(2011),7.0,56
235,The Blind Side,129 min,(2009),7.6,53
236,Chinatown,130 min,(1974),8.2,92
237,The Proposal,108 min,(I) (2009),6.7,48
238,The Hunt,115 min,(2012),8.3,77
239,10 Cloverfield Lane,103 min,(2016),7.2,76
240,Fifty Shades of Grey,125 min,(2015),4.1,46
241,Interview with the Vampire: The Vampire Chronicles,123 min,(1994),7.5,59
242,Lucky Number Slevin,110 min,(2006),7.7,53
243,The Book of Eli,118 min,(2010),6.9,53
244,To Kill a Mockingbird,129 min,(1962),8.2,88
245,The Secret Life of Walter Mitty,114 min,(2013),7.3,54
246,Lord of War,122 min,(2005),7.6,62
247,Gone with the Wind,238 min,(1939),8.1,97
248,Annihilation,115 min,(I) (2018),6.8,79
249,Magnolia,188 min,(1999),8.0,77
